SerialNumber,HostName,HostIp,ModelNumber,DisplayStatus,Manufacturer,UserName,FirmwareVersion
H4ZHA01193,GJLT-1665.aus.gjames.com.au,10.54.4.168,S24E650,Not Connected,SAM,e102561,
H4LJ400255,GJLT-0549.aus.gjames.com.au,10.54.4.129,S24E650,ON,SAM,andy,
HTPK900526,GJLT-0549.aus.gjames.com.au,10.54.4.129,U32J59x,ON,SAM,andy,
QPVN2HA009540,GJPC-0424.aus.gjames.com.au,10.243.10.39,Q32V3WG5,Not Connected,AOC,e102547,
CNG73907FL,GJPC-0424.aus.gjames.com.au,10.243.10.39,HP LP2065,Not Connected,HWP,e102547,N/A
CN430108BD,GJPC-0464.aus.gjames.com.au,10.54.4.182,HP E24u G5,ON,HPN,e104340,1.30.0.0
CN430108C9,GJPC-0464.aus.gjames.com.au,10.54.4.182,HP E24u G5,ON,HPN,e104340,1.30.0.0
HTMDB00326,GJLT-1581.aus.gjames.com.au,10.29.4.184,S24C450,ON,SAM,e018061,
H4ZH600452,GJLT-1581.aus.gjames.com.au,10.29.4.184,S24E650,ON,SAM,e018061,
HTHFA00913,GJLT-1640.aus.gjames.com.au,10.55.5.117,S24C650,ON,SAM,e019953,
HTPG400118,GJLT-1640.aus.gjames.com.au,10.55.5.117,S24C650,ON,SAM,e019953,
H4ZHA01349,GJWS-0339.aus.gjames.com.au,10.55.4.64,S24E650,ON,SAM,e100904,
HTPG400145,GJWS-0339.aus.gjames.com.au,10.55.4.64,S24C650,ON,SAM,e100904,
HMJB200768,GJPC-0424.aus.gjames.com.au,10.243.10.39,SyncMaster,Not Connected,SAM,e102547,
HMBC801996,GJPC-0495.aus.gjames.com.au,10.62.4.178,S24B420,Not Connected,SAM,e104180,
HTHFA00920,GJLT-0848.aus.gjames.com.au,10.55.4.201,S24C650,Not Connected,SAM,e100039,
HTHFA00496,GJWS-0439.aus.gjames.com.au,10.55.4.90,S24C650,ON,SAM,e006255,
H4ZJ800163,GJPC-0210.aus.gjames.com.au,10.55.5.194,S24E650,ON,SAM,e103006,
H4ZJ800132,GJPC-0210.aus.gjames.com.au,10.55.5.194,S24E650,ON,SAM,e103006,
H4ZJ701459,GJPC-0210.aus.gjames.com.au,10.55.5.194,S24E650,ON,SAM,e103006,
H4ZHA01038,GJLT-1029.aus.gjames.com.au,10.43.4.180,S24E650,ON,SAM,e103607,
H4ZM600147,GJLT-1029.aus.gjames.com.au,10.43.4.180,S24E650,ON,SAM,e103607,
H4ZJ701368,GJLT-1641.aus.gjames.com.au,10.64.4.191,S24E650,ON,SAM,e006085,
H4ZJ701081,GJLT-1641.aus.gjames.com.au,10.64.4.191,S24E650,ON,SAM,e006085,
H4ZJ800406,GJLT-0868.aus.gjames.com.au,10.29.4.177,S24E650,ON,SAM,e103508,
H4ZKA00162,GJLT-0868.aus.gjames.com.au,10.29.4.177,S24E650,ON,SAM,e103508,
H4ZK800659,GJWS-0742.aus.gjames.com.au,10.63.4.106,S24E650,ON,SAM,e101639,
H4ZJ800172,GJWS-1135.aus.gjames.com.au,192.168.248.102,S24E650,ON,SAM,e102620,
CN43110F1P,GJPC-0473.aus.gjames.com.au,10.16.4.102,HP E24u G5,ON,HPN,e022641,1.30.0.0
CN43110DZ0,GJPC-0473.aus.gjames.com.au,10.16.4.102,HP E24u G5,ON,HPN,e022641,1.30.0.0
HMFZ304160,GJWS-0402.aus.gjames.com.au,10.64.5.118,SyncMaster,ON,SAM,E021982,
CN430108DB,GJPC-0450.aus.gjames.com.au,10.18.4.100,HP E24u G5,ON,HPN,E102946,1.30.0.0
CN430108GD,GJPC-0450.aus.gjames.com.au,10.18.4.100,HP E24u G5,ON,HPN,E102946,1.30.0.0
H4ZHA01056,GJWS-1069.aus.gjames.com.au,10.25.4.107,S24E650,ON,SAM,e100637,
H4ZJ800024,GJLT-1432.aus.gjames.com.au,10.55.4.194,S24E650,ON,SAM,e018782,
HTHGC00604,GJLT-1432.aus.gjames.com.au,10.55.4.194,S24E650,ON,SAM,e018782,
H4ZM901904,GJLT-1548.aus.gjames.com.au,192.168.1.19,U28E590,ON,SAM,e007205,
HMBSC06288,GJWS-0734.aus.gjames.com.au,10.63.4.109,SyncMaster,ON,SAM,e103414,
HTPG400132,GJPC-0233.aus.gjames.com.au,10.64.5.119,S24C650,Not Connected,SAM,E102049,
CN422131H8,GJPC-0381.aus.gjames.com.au,10.20.4.133,HP E24u G4,Not Connected,HPN,e021179,1.0.7.0
CN422131GK,GJPC-0381.aus.gjames.com.au,10.20.4.133,HP E24u G4,Not Connected,HPN,e021179,1.0.7.0
HMCS508159,GJWS-0879.aus.gjames.com.au,10.29.4.178,SyncMaster,ON,SAM,e018793,
HMCQ801757,GJWS-0879.aus.gjames.com.au,10.29.4.178,SyncMaster,ON,SAM,e018793,
H4ZJ800022,GJPC-0359.aus.gjames.com.au,10.42.4.178,S24E650,ON,SAM,e018079,
H4ZJ800197,GJPC-0359.aus.gjames.com.au,10.42.4.178,S24E650,ON,SAM,e018079,
HTPGC00717,GJWS-0576.aus.gjames.com.au,10.55.4.181,S24E650,ON,SAM,e101015,
H4LJ400258,GJWS-0576.aus.gjames.com.au,10.55.4.181,S24E650,ON,SAM,e101015,
H4LJ400490,GJWS-1095.aus.gjames.com.au,10.64.4.107,S24E650,ON,SAM,e001542,
H4LJ400252,GJWS-1095.aus.gjames.com.au,10.64.4.107,S24E650,ON,SAM,e001542,
H4LT301155,GJPC-0286.aus.gjames.com.au,10.38.4.102,LF24T450F,ON,SAM,e008975,
H4LT300066,GJPC-0286.aus.gjames.com.au,10.38.4.102,LF24T450F,ON,SAM,e008975,
CNK64315MN,GJWS-1090.aus.gjames.com.au,10.55.4.53,HP V243,ON,HWP,e101798,N/A
CNK64315KN,GJWS-1090.aus.gjames.com.au,10.55.4.53,HP V243,ON,HWP,e101798,N/A
HMAS604103,GJWS-0864.aus.gjames.com.au,10.29.4.100,SyncMaster,ON,SAM,e101951,
HTLF102237,GJWS-0355.aus.gjames.com.au,10.55.4.196,S24C650,ON,SAM,e104096,
H4ZJ701039,GJPC-0283.aus.gjames.com.au,10.55.5.181,S24E650,ON,SAM,e104195,
H4ZJ800325,GJPC-0283.aus.gjames.com.au,10.55.5.181,S24E650,ON,SAM,e104195,
HTPGC00701,GJWS-0573.aus.gjames.com.au,10.55.4.178,S24E650,ON,SAM,e023262,
HTPGC00704,GJWS-0573.aus.gjames.com.au,10.55.4.178,S24E650,ON,SAM,e023262,
HTHFA00894,GJWS-1546.aus.gjames.com.au,10.56.4.186,S24C650,Not Connected,SAM,e103216,
H4ZM600025,GJWS-1546.aus.gjames.com.au,10.56.4.186,S24E650,ON,SAM,e103216,
H4ZH600746,GJWS-4042.aus.gjames.com.au,10.58.4.103,S24E650,ON,SAM,e004754,
HMAQ400742,GJWS-4042.aus.gjames.com.au,10.58.4.103,SyncMaster,ON,SAM,e004754,
HMEZ100535,GJWS-0585.aus.gjames.com.au,10.69.4.104,SyncMaster,ON,SAM,E102890,
H4ZM500155,GJWS-0585.aus.gjames.com.au,10.69.4.104,S24E650,ON,SAM,E102890,
H4ZM600295,GJLT-0772.aus.gjames.com.au,10.64.5.100,S24E650,ON,SAM,e001070,
H4ZM400024,GJLT-0772.aus.gjames.com.au,10.64.5.100,S24E650,ON,SAM,e001070,
H4ZH600634,GJWS-0788.aus.gjames.com.au,10.68.4.107,S24E650,ON,SAM,e007968,
HMCS507911,GJLT-0876.aus.gjames.com.au,10.29.4.105,SyncMaster,ON,SAM,e017478,
H4ZJ800649,GJLT-1074.aus.gjames.com.au,10.27.4.185,S24E650,ON,SAM,e008946,
H4ZJ701176,GJLT-1074.aus.gjames.com.au,10.27.4.185,S24E650,ON,SAM,e008946,
HTHFA00902,GJWS-1634.aus.gjames.com.au,10.35.4.175,S24C650,ON,SAM,e002797,
HMCS508307,GJWS-1634.aus.gjames.com.au,10.35.4.175,SyncMaster,ON,SAM,e002797,
H4ZJ701164,GJLT-0326.aus.gjames.com.au,192.168.1.60,S24E650,Not Connected,SAM,e100495,
H4ZJ701290,GJLT-0326.aus.gjames.com.au,192.168.1.60,S24E650,Not Connected,SAM,e100495,
HTLF101706,GJWS-1174.aus.gjames.com.au,10.35.4.108,S24C650,ON,SAM,e102483,
H4ZJ701389,GJLT-1605.aus.gjames.com.au,10.67.5.174,S24E650,ON,SAM,e100614,
H4ZRB00142,GJLT-1605.aus.gjames.com.au,10.67.5.174,LF24T450F,ON,SAM,e100614,
HTHG800759,GJPC-0406.aus.gjames.com.au,10.42.5.173,S24E650,ON,SAM,e009109,
H4ZT201146,GJLT-1652.aus.gjames.com.au,10.54.4.148,LF24T450F,ON,SAM,e102878,
H4ZT200310,GJLT-1652.aus.gjames.com.au,10.54.4.148,LF24T450F,ON,SAM,e102878,
H4ZJ800259,GJLT-1415.aus.gjames.com.au,10.63.4.155,S24E650,ON,SAM,e017088,
HTHFA00934,GJLT-1415.aus.gjames.com.au,10.63.4.155,S24C650,ON,SAM,e017088,
HTHGC00578,GJLT-0719.aus.gjames.com.au,10.67.4.101,S24E650,ON,,e104281,
H4ZT101198,GJLT-1054.aus.gjames.com.au,10.16.4.101,LF24T450F,ON,SAM,e103740,
H4ZT101610,GJLT-1054.aus.gjames.com.au,10.16.4.101,LF24T450F,ON,SAM,e103740,
HVSB100344,GJLT-1404.aus.gjames.com.au,10.55.4.71,SMBX2440,ON,SAM,e023065,
HTMD900262,GJLT-1404.aus.gjames.com.au,10.55.4.71,S24C450,ON,SAM,e023065,
CN422131GM,GJPC-0392.aus.gjames.com.au,10.20.4.106,HP E24u G4,ON,HPN,e022656,1.0.7.0
CN42213167,GJPC-0392.aus.gjames.com.au,10.20.4.106,HP E24u G4,ON,HPN,e022656,1.0.7.0
H4ZM600172,GJWS-0978.aus.gjames.com.au,10.31.4.126,S24E650,ON,SAM,e100835,
H4ZM600170,GJWS-0978.aus.gjames.com.au,10.31.4.126,S24E650,ON,SAM,e100835,
CN4301089W,GJWS-0947.aus.gjames.com.au,10.33.4.117,HP E24u G5,ON,HPN,e102375,1.30.0.0
CN430108CC,GJWS-0947.aus.gjames.com.au,10.33.4.117,HP E24u G5,ON,HPN,e102375,1.30.0.0
H9NP600144,GJLT-0346.aus.gjames.com.au,10.67.4.178,SyncMaster,ON,SAM,e104243,
0B 0C) 16 18 1A 1E 20 30 3E 52 60(01 11 12 0F) AA(01 02) AC AE,GJWS-0444.aus.gjames.com.au,10.43.4.109,8 C9 D6(01 04 05) DC(00 02 03 05 ) DF FD)mccs_ver(2,Not Connected,B2 B6 C,e103398,
HTPG400134,GJLT-0521.aus.gjames.com.au,10.54.4.128,S24C650,ON,SAM,e020091,
HMBC700769,GJLT-0521.aus.gjames.com.au,10.54.4.128,S24B420,ON,SAM,e020091,
HMBC700948,GJLT-0521.aus.gjames.com.au,10.54.4.128,S24B420,ON,SAM,e020091,
H4ZN800260,GJWS-0587.aus.gjames.com.au,10.55.4.115,S24E650,Not Connected,SAM,E103434,
H4ZN800113,GJWS-0587.aus.gjames.com.au,10.55.4.115,S24E650,Not Connected,SAM,E103434,
HMCS508145,GJLT-0942.aus.gjames.com.au,10.35.5.177,SyncMaster,Not Connected,SAM,e003613,
HMAQ400066,GJLT-0318.aus.gjames.com.au,10.54.4.196,SyncMaster,ON,SAM,e003841,
HMCS508104,GJLT-0318.aus.gjames.com.au,10.54.4.196,SyncMaster,ON,SAM,e003841,
H4ZJ300662,GJLT-0358.aus.gjames.com.au,10.47.5.105,S24E650,Not Connected,SAM,e100141,
HVSB701587,GJLT-0358.aus.gjames.com.au,10.47.5.105,SMS22A450,Not Connected,SAM,e100141,
H4ZK800887,GJLT-0358.aus.gjames.com.au,10.47.5.105,S24E650,Not Connected,SAM,e100141,
CN4221312Q,GJPC-0395.aus.gjames.com.au,10.20.4.114,HP E24u G4,ON,HPN,e101083,1.0.7.0
CN422131GR,GJPC-0395.aus.gjames.com.au,10.20.4.114,HP E24u G4,ON,HPN,e101083,1.0.7.0
CN422130R4,GJLT-1664.aus.gjames.com.au,10.18.4.107,HP E24u G4,ON,HPN,e103112,1.0.7.0
CN422130R8,GJLT-1664.aus.gjames.com.au,10.18.4.107,HP E24u G4,ON,HPN,e103112,1.0.7.0
HMAS603802,GJWS-0968.aus.gjames.com.au,10.31.4.109,SyncMaster,ON,SAM,e102791,
H4LJ400708,GJWS-0954.aus.gjames.com.au,10.33.4.118,S24E650,ON,SAM,e103891,
H4LT300696,GJPC-0273.aus.gjames.com.au,10.20.5.110,LF24T450F,ON,SAM,e104187,
H4LT300462,GJPC-0273.aus.gjames.com.au,10.20.5.110,LF24T450F,Not Connected,SAM,e104187,
H4ZT201143,GJPC-0335.aus.gjames.com.au,10.55.5.127,LF24T450F,ON,SAM,e008460,
H4ZT200765,GJPC-0335.aus.gjames.com.au,10.55.5.127,LF24T450F,ON,SAM,e008460,
HTLG201421,GJPC-0372.aus.gjames.com.au,10.55.5.177,S24C650,ON,SAM,e103315,
H4ZT200391,GJPC-0372.aus.gjames.com.au,10.55.5.177,LF24T450F,ON,SAM,e103315,
HMCQ800967,GJWS-1627.aus.gjames.com.au,10.58.5.115,SyncMaster,Not Connected,SAM,e021495,
H4ZJ701480,GJLT-1416.aus.gjames.com.au,10.55.4.151,S24E650,ON,SAM,e022282,
H4ZJ701038,GJLT-1416.aus.gjames.com.au,10.55.4.151,S24E650,ON,SAM,e022282,
H4ZKA00072,GJLT-1587.aus.gjames.com.au,10.58.4.110,S24E650,ON,SAM,e101096,
H4ZRB00141,GJLT-0474.aus.gjames.com.au,10.64.5.175,LF24T450F,ON,SAM,E103829,
H4ZRB00972,GJLT-0474.aus.gjames.com.au,10.64.5.175,LF24T450F,ON,SAM,E103829,
H4ZJ700073,GJLT-0574.aus.gjames.com.au,10.55.4.14,S24E650,ON,SAM,e008338,
HTHG800756,GJLT-0574.aus.gjames.com.au,10.55.4.14,S24E650,ON,SAM,e008338,
HMFZ111919,GJLT-1154.aus.gjames.com.au,172.23.248.107,SyncMaster,Not Connected,SAM,e020032,
HTHFA00946,GJPC-0187.aus.gjames.com.au,10.64.5.193,S24C650,Not Connected,SAM,e103442,
HTMD900313,GJPC-0187.aus.gjames.com.au,10.64.5.193,S24C450,ON,SAM,e103442,
H4ZK900256,GJLT-1034.aus.gjames.com.au,10.45.4.176,S24E650,ON,SAM,e101608,
H4ZK900167,GJLT-1034.aus.gjames.com.au,10.45.4.176,S24E650,ON,SAM,e101608,
H4ZHA00112,GJLT-1025.aus.gjames.com.au,10.43.4.116,S24E650,ON,SAM,e017568,
H4LRB01437,GJLT-1025.aus.gjames.com.au,10.43.4.116,LF24T450F,ON,SAM,e017568,
H4ZK400402,GJWS-0987.aus.gjames.com.au,10.36.4.187,S24E650,ON,SAM,e103568,
HMCS508065,GJWS-0445.aus.gjames.com.au,10.27.4.183,SyncMaster,ON,SAM,e021883,
HTMC501120,GJPC-0418.aus.gjames.com.au,10.16.4.176,SMS24A450,Not Connected,SAM,e102031,
HTLG501019,GJPC-0386.aus.gjames.com.au,10.54.5.182,S24C650,ON,SAM,e103200,
HTLF102254,GJPC-0386.aus.gjames.com.au,10.54.5.182,S24C650,ON,SAM,e103200,
H4ZJ701388,GJLT-0349.aus.gjames.com.au,10.64.4.183,S24E650,ON,SAM,e004659,
H4ZJ701100,GJLT-0349.aus.gjames.com.au,10.64.4.183,S24E650,ON,SAM,e004659,
T51SA002851C,GJPC-0412.aus.gjames.com.au,192.168.1.105,KA220HQ,Not Connected,ACR,e104035,
H4ZM400034,GJLT-1592.aus.gjames.com.au,10.64.5.174,S24E650,ON,SAM,e102909,
H4ZJ701249,GJLT-1592.aus.gjames.com.au,10.64.5.174,S24E650,Not Connected,SAM,e102909,
CNK64315JR,GJWS-1234.aus.gjames.com.au,10.64.5.102,HP V243,ON,HWP,e002249,N/A
HTHFA00951,GJLT-1629.aus.gjames.com.au,192.168.0.20,S24C650,ON,SAM,e021380,
H4ZT200017,GJLT-1629.aus.gjames.com.au,192.168.0.20,LF24T450F,ON,SAM,e021380,
H4ZH600496,GJWS-4016.aus.gjames.com.au,10.55.4.73,S24E650,ON,SAM,c900008,
HTMC301470,GJWS-4016.aus.gjames.com.au,10.55.4.73,SMS24A450,ON,SAM,c900008,
H4LJ400124,GJWS-0355.aus.gjames.com.au,10.55.4.196,S24E650,ON,SAM,e104096,
HMAS604060,GJWS-0757.aus.gjames.com.au,10.49.4.106,SyncMaster,ON,SAM,e102825,
H4ZJ800023,GJPC-0493.aus.gjames.com.au,10.27.5.100,S24E650,ON,SAM,e023849,
H4ZKC00238,GJPC-0493.aus.gjames.com.au,10.27.5.100,S24E650,ON,SAM,e023849,
H4LJ400673,GJLT-1423.aus.gjames.com.au,10.35.5.177,S24E650,Not Connected,SAM,e100636,
H4ZM700139,GJLT-1423.aus.gjames.com.au,10.35.5.177,S24E650,Not Connected,SAM,e100636,
HTMC301619,GJPC-0348.aus.gjames.com.au,10.27.5.178,SMS24A450,ON,SAM,e102808,
HVMBC00130,GJPC-0348.aus.gjames.com.au,10.27.5.178,SMS24A450,ON,SAM,e102808,
H4ZJ700952,GJLT-1616.aus.gjames.com.au,10.20.4.103,S24E650,ON,SAM,e016425,
H4ZJ700954,GJLT-1616.aus.gjames.com.au,10.20.4.103,S24E650,ON,SAM,e016425,
CNC25126ZW,GJTA-GJLT-4064.aus.gjames.com.au,192.168.1.103,HP P34hc G4,Not Connected,HPN,e022524,1.0.5.0
HMBZ800012,GJWS-4032.aus.gjames.com.au,10.33.4.106,SyncMaster,ON,SAM,e023465,
H4ZKC00235,GJWS-4032.aus.gjames.com.au,10.33.4.106,S24E650,ON,SAM,e023465,
H4ZT200057,GJWS-1221.aus.gjames.com.au,192.168.0.19,LF24T450F,ON,SAM,e006895,
H4ZT200764,GJWS-1221.aus.gjames.com.au,192.168.0.19,LF24T450F,ON,SAM,e006895,
HMCS508149,GJLT-0997.aus.gjames.com.au,10.36.4.105,SyncMaster,Not Connected,SAM,e102382,
HMCS507998,GJLT-0997.aus.gjames.com.au,10.36.4.105,SyncMaster,Not Connected,SAM,e102382,
CNK64315M6,GJWS-0949.aus.gjames.com.au,10.33.4.119,HP V243,ON,HWP,e023774,N/A
HTMC203751,GJWS-0704.aus.gjames.com.au,10.60.5.101,SMS24A450,Not Connected,SAM,e020201,
H4LT300537,GJLT-1662.aus.gjames.com.au,10.29.4.172,LF24T450F,ON,SAM,e103959,
H4LT300531,GJLT-1662.aus.gjames.com.au,10.29.4.172,LF24T450F,ON,SAM,e103959,
CN42440PDM,GJPC-0427.aus.gjames.com.au,127.0.0.1,HP E24u G4,ON,HPN,e023419,1.0.8.0
UK52250000452,GJPC-0427.aus.gjames.com.au,127.0.0.1,PHL 288E2,ON,PHL,e023419,
H4LRB01126,GJPC-0297.aus.gjames.com.au,10.55.4.179,LF24T450F,Not Connected,SAM,e102572,
H4LRB01161,GJPC-0297.aus.gjames.com.au,10.55.4.179,LF24T450F,Not Connected,SAM,e102572,
H4LT300061,GJLT-1645.aus.gjames.com.au,10.54.5.133,LF24T450F,Not Connected,SAM,e102086,
HTPGC00401,GJLT-1434.aus.gjames.com.au,10.43.4.100,S24E650,Not Connected,SAM,e006458,
H4ZM600084,GJLT-1434.aus.gjames.com.au,10.43.4.100,S24E650,Not Connected,SAM,e006458,
CN42253HPD,GJPC-0501.aus.gjames.com.au,127.0.0.1,HP E24u G4,Not Connected,HPN,e023950,1.0.7.0
H4LT300526,GJLT-1687.aus.gjames.com.au,192.168.0.221,LF24T450F,ON,SAM,e007951,
H4LT300535,GJLT-1687.aus.gjames.com.au,192.168.0.221,LF24T450F,ON,SAM,e007951,
H4ZM900026,GJWS-1139.aus.gjames.com.au,10.20.4.149,S24E650,ON,SAM,e103337,
HMEZ100395,GJPC-0342.aus.gjames.com.au,10.20.5.102,SyncMaster,ON,SAM,e101611,
HVRB100243,GJPC-0342.aus.gjames.com.au,10.20.5.102,SMBX2440,ON,SAM,e101611,
HNAR302158,GJLT-1582.aus.gjames.com.au,10.55.4.246,LF24T450F,ON,SAM,E103391,
HNAR302164,GJLT-1582.aus.gjames.com.au,10.55.4.246,LF24T450F,ON,SAM,E103391,
HMAS603951,GJPC-0220.aus.gjames.com.au,10.42.4.179,SyncMaster,ON,SAM,e020398,
H4ZJ500907,GJWS-1131.aus.gjames.com.au,192.168.248.117,S24E650,ON,SAM,e101906,
HMAS901579,GJWS-0558.aus.gjames.com.au,10.64.5.136,SyncMaster,ON,SAM,e002167,
HNMT500303,GJPC-0165.aus.gjames.com.au,10.18.5.101,LF24T450F,ON,SAM,e104156,
H4ZT300463,GJPC-0165.aus.gjames.com.au,10.18.5.101,LF24T450F,ON,SAM,e104156,
H4ZR900109,GJLT-1417.aus.gjames.com.au,10.60.5.178,LF24T450F,ON,SAM,e000971,
H4ZR900029,GJLT-1417.aus.gjames.com.au,10.60.5.178,LF24T450F,ON,SAM,e000971,
HTPG100471,GJLT-0382.aus.gjames.com.au,10.54.4.172,S24C650,Not Connected,SAM,e023188,
HTPGC00719,GJWS-0588.aus.gjames.com.au,10.55.4.54,S24E650,ON,SAM,e023847,
HTMDB00311,GJWS-0588.aus.gjames.com.au,10.55.4.54,S24C450,ON,SAM,e023847,
HMCS508108,GJWS-0935.aus.gjames.com.au,10.34.4.188,SyncMaster,ON,SAM,e103591,
H4ZJ701139,GJWS-0792.aus.gjames.com.au,10.56.4.107,S24E650,ON,SAM,e019995,
H4ZM400008,GJWS-0948.aus.gjames.com.au,10.33.4.104,S24E650,ON,SAM,e104125,
H4ZJ700512,GJLT-0333.aus.gjames.com.au,10.54.4.199,S24E650,ON,SAM,e009698,
HTHG800790,GJLT-0333.aus.gjames.com.au,10.54.4.199,S24E650,ON,SAM,e009698,
H4ZH601022,GJLT-1620.aus.gjames.com.au,10.55.5.187,S24E650,Not Connected,SAM,e102418,
CN43192Y87,GJPC-0468.aus.gjames.com.au,10.55.4.155,HP Z24u G3,ON,HPN,e008288,1.2.11.0
CN43192Y8G,GJPC-0468.aus.gjames.com.au,10.55.4.155,HP Z24u G3,ON,HPN,e008288,1.2.11.0
H4ZM600026,GJTA-0607.aus.gjames.com.au,10.31.4.105,S24E650,ON,SAM,e100237,
H4ZM600100,GJTA-0607.aus.gjames.com.au,10.31.4.105,S24E650,ON,SAM,e100237,
HTLG401238,GJTA-0607.aus.gjames.com.au,10.31.4.105,S24C650,ON,SAM,e100237,
H4ZT302229,GJLT-1401.aus.gjames.com.au,10.20.4.115,LF24T450F,Not Connected,SAM,e006639,
H4LT300461,GJLT-1401.aus.gjames.com.au,10.20.4.115,LF24T450F,Not Connected,SAM,e006639,
HMBZ401107,GJLT-1405.aus.gjames.com.au,10.55.4.159,SyncMaster,Not Connected,SAM,e104055,
HVRB100024,GJWS-0817.aus.gjames.com.au,10.30.4.180,SMBX2440,ON,SAM,e000272,
HTPG400117,GJLT-1406.aus.gjames.com.au,127.0.0.1,S24C650,Not Connected,SAM,e104039,
HMBZ800187,GJLT-1406.aus.gjames.com.au,127.0.0.1,SyncMaster,ON,SAM,e104039,
HTPG400151,GJWS-0919.aus.gjames.com.au,10.18.4.101,S24C650,Not Connected,SAM,e103113,
H4LT300093,GJWS-0919.aus.gjames.com.au,10.18.4.101,LF24T450F,Not Connected,SAM,e103113,
HMAS603700,GJLT-0334.aus.gjames.com.au,10.64.5.199,SyncMaster,ON,SAM,e104244,
H4ZJ701181,GJLT-0334.aus.gjames.com.au,10.64.5.199,S24E650,ON,SAM,e104244,
HMBZ800062,GJPC-0464.aus.gjames.com.au,10.54.4.182,SyncMaster,Not Connected,SAM,e104340,
H4ZJ800087,GJPC-0084.aus.gjames.com.au,10.64.5.142,S24E650,ON,SAM,e021197,
HTHG800781,GJLT-1404.aus.gjames.com.au,10.55.4.71,S24E650,Not Connected,SAM,e023065,
HNAR302139,GJTA-GJLT-4064.aus.gjames.com.au,192.168.1.103,LF24T450F,Not Connected,SAM,e022524,
TVT141932289,GJPC-0466.aus.gjames.com.au,10.54.4.114,VX2452 Series,Not Connected,VSC,E103100,
UID45383,GJPC-0076.aus.gjames.com.au,127.0.0.1,E2241,Not Connected,GSM,e000030,
