"Model categories","Class","Manufacturer","Model number","Name","Owner","Status","Expenditure type","Asset tracking strategy","Asset tracking unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook 840 14 inch G9 Notebook PC","HP EliteBook 840 14 inch G9 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook 840 G8 Notebook PC","HP EliteBook 840 G8 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook 860 16 inch G9 Notebook PC","HP EliteBook 860 16 inch G9 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook x360 1030 G7 Notebook PC","HP EliteBook x360 1030 G7 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook x360 1030 G8 Notebook PC","HP EliteBook x360 1030 G8 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook x360 1040 G8 Notebook PC","HP EliteBook x360 1040 G8 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteDesk 800 G8 Desktop Mini PC","HP EliteDesk 800 G8 Desktop Mini PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Hewlett-Packard","HP P34hc G4","HP P34hc G4","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP ProBook 650 G8 Notebook PC","HP ProBook 650 G8 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP ProDesk 600 G6 Desktop Mini PC","HP ProDesk 600 G6 Desktop Mini PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP ProDesk 600 G6 Small Form Factor PC","HP ProDesk 600 G6 Small Form Factor PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Z240 SFF Workstation","HP Z240 SFF Workstation","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Hewlett-Packard","HP Z24u G3","HP Z24u G3","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP Z440 Workstation","HP Z440 Workstation","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP ZBook Firefly 16 inch G9 Mobile Workstation PC","HP ZBook Firefly 16 inch G9 Mobile Workstation PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP ZBook Fury 15.6 inch G8 Mobile Workstation PC","HP ZBook Fury 15.6 inch G8 Mobile Workstation PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP ZBook Fury 16 G9 Mobile Workstation PC","HP ZBook Fury 16 G9 Mobile Workstation PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP ZBook Fury 17 G7 Mobile Workstation","HP ZBook Fury 17 G7 Mobile Workstation","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","Apple","iPad (9th generation)","iPad (9th generation)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","Apple","iPad Air (3rd generation)","iPad Air (3rd generation)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 11","iPhone 11","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 11 Pro","iPhone 11 Pro","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 11 Pro Max","iPhone 11 Pro Max","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 12","iPhone 12","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 12 mini","iPhone 12 mini","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 13","iPhone 13","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 14","iPhone 14","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 14 Pro Max","iPhone 14 Pro Max","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 5S","iPhone 5S","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 6s","iPhone 6s","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 6s Plus","iPhone 6s Plus","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 7","iPhone 7","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 7 Plus","iPhone 7 Plus","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 8 Plus","iPhone 8 Plus","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone SE","iPhone SE","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone SE (1st generation)","iPhone SE (1st generation)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone SE (2nd generation)","iPhone SE (2nd generation)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone SE (3rd generation)","iPhone SE (3rd generation)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone XR","iPhone XR","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone XS","iPhone XS","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Headset","cmdb_hardware_product_model","Jabra","Jabra Elite 75t","Jabra Elite 75t","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Headset","cmdb_hardware_product_model","Jabra","Jabra Evolve 65","Jabra Evolve 65","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Headset","cmdb_hardware_product_model","Jabra","Jabra Evolve 75","Jabra Evolve 75","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Headset","cmdb_hardware_product_model","Jabra","Jabra EVOLVE LINK MS","Jabra EVOLVE LINK MS","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Headset","cmdb_hardware_product_model","Jabra","Jabra Evolve2 30","Jabra Evolve2 30","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Headset","cmdb_hardware_product_model","Jabra","Jabra Link 370","Jabra Link 370","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Headset","cmdb_hardware_product_model","Jabra","Jabra Link 380","Jabra Link 380","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","LF24T450F","LF24T450F","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","Microsoft Corporation","Surface Book","Microsoft Corporation SURFACE BOOK i7 GPU2","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","Microsoft Corporation","Surface Pro","Microsoft Corporation Surface Pro","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","Microsoft Corporation","Surface Book 3","Microsoft Corporation Surface Pro 3","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","S24B420","S24B420","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","S24C450","S24C450","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","S24C650","S24C650","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","S24E650","S24E650","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","S27B370","S27B370","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","samsung","SM-X200","Samsung Galaxy Tab A8 10.5 (2021)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","samsung","SM-T636B","Samsung Galaxy Tab Active4 Pro","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","samsung","SM-A205YN","SM-A205YN","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","SMBX2240","SMBX2240","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","samsung","SM-J250G","SM-J250G","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","SMS24A450","SMS24A450","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","SyncMaster","SyncMaster","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20FN001CAU","T460","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","LENOVO","10M7S0L900","ThinkCentre M710S","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","LENOVO","10ST000CAU","ThinkCentre M720","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","LENOVO","10RSS0LE00","ThinkCentre M920q","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20J5S24500","ThinkPad L470","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20LSS0DD00","ThinkPad L480","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20Q5S0CN00","ThinkPad L490","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","LENOVO","20HCS0K100","ThinkPad P51s","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","LENOVO","20LBS03V00","ThinkPad P52s","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","LENOVO","20N6S04A00","ThinkPad P53s","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","LENOVO","30BGS19800","ThinkStation P320","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","LENOVO","30BGS4EE00","ThinkStation P320 (a)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","LENOVO","30BGS2WJ00","ThinkStation P330 i7","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","LENOVO","30CYS0U500","ThinkStation P330 i7 P4000","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","U28E590","U28E590","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","U32J59x","U32J59x","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20F90012AU","X260","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20HMS04600","X260 c","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
